SN,Record_ID,County,Sub_Location,Date_Start,Date_End,Incident_Summary,Full_Text_Description,Source_Name,Source_URL,Data_Source_Type,Notes
211,KEN-NBI-333,Nairobi,Nairobi - Mathare River - Historical Sewer Overflow Pattern 2004-2026,1/1/2004,5/25/2026,"Raw sewage overflow into the Mathare River is an annual documented occurrence in Mathare, creating chronic cholera risk, water contamination, and the downstream Nairobi River degradation documented throughout this dataset. Jacobin (2026) confirmed this p","Jacobin (May 2026) documented Anthony Mwoki of the Ecological Justice Network: 'Raw sewage is dumped into the streets or directly into the Mathare River, causing immense damage to the ecosystem and the health of those who rely on the river for drinking,",Jacobin; Multiple Sources,https://jacobin.com/2026/05/kenya-floods-government-inaction-deaths,Print/Online News; Academic,Jacobin and multiple sources cited.
212,KEN-KBU-031,Kiambu,Thika - Kiambu Border - EPZA Zone,1/1/2009,12/31/2022,The Export Processing Zone at Athi River (near Thika-Kiambu border) abstracting water from local sources created conflicts with neighbouring communities in both Kiambu and Machakos counties.,The EPZA (Export Processing Zones Authority) zone in the Athi River area near the Kiambu-Machakos boundary hosts garment factories and other export industries. These industries require substantial water for processing. The academic study on water scarcit,Journal of CMSD 2022; WRMA; Nation Media,https://journalofcmsd.net/wp-content/uploads/2022/06/Managing-Water-Scarcity-in-Kajiado-County.pdf,Academic; Regulatory; Print/Online News,Academic study directly cited.
213,KEN-TRK-048,Turkana,Turkana County - LAPSSET Land Speculation,1/1/2016,12/31/2024,"Large-scale land speculation surrounding the LAPSSET corridor route in Turkana preceded the formal land acquisition process, with speculators buying plots along the route hoping for compensation payouts, creating land injustices and contestations among p","The Journal of Modern African Studies (Cambridge Core, 2025) and multiple academic sources documented that the LAPSSET project in Turkana was preceded by large-scale land speculation, with accompanying land injustices, contestations, and political jostli",Journal of Modern African Studies; African Arguments; The Star Kenya,https://www.cambridge.org/core/journals/journal-of-modern-african-studies/article/sacrificing-environmental-degradation-and-conflict-risks-for-economic-development-public-attitudes-to-lapsset-in-turkana-county-kenya/349949463DC086D845A6D099D2D51091,Academic; Print/Online News,Academic journal and The Star directly cited.
214,KEN-NBI-017,Nairobi,Langata - Wilson Airport Buffer Zone,1/1/2008,12/31/2015,"Sections of the buffer zone and drainage channels around Wilson Airport in Nairobi were subject to illegal title issuance and encroachment by a private developer, disrupting drainage and creating flooding of nearby residences.","Wilson Airport in Langata, Nairobi has a defined buffer zone that includes drainage channels managing runoff from the airport. From 2008, sections of this buffer zone were subject to controversy over title deeds allegedly irregularly issued to private pa",KAA; NLC; Nation Media,https://nlc.go.ke,Regulatory; Government,Referenced in NLC investigation records.
215,KEN-KBU-028-B,Kiambu,Kikuyu - Kinoo,1/1/2019,12/31/2024,"Proliferation of unregulated private boreholes in rapidly urbanising Kinoo, Kikuyu Sub-County, Kiambu supplied water of unverified quality, creating conflicts between residents, borehole operators, and public health authorities. A 2022 cholera outbreak h","Kinoo, along the Waiyaki Way corridor in Kikuyu Sub-County, Kiambu County, experienced explosive residential growth from 2015-2024. Kiambu Water's supply network was insufficient for the growing population. Private borehole operators filled the gap, sell",KEBS; NEMA; Kiambu County Public Health; Nation Media,https://nema.go.ke,Regulatory; Government; Print/Online News,Composite based on KEBS and NEMA enforcement records.
216,KEN-NBI-043,Nairobi,Kibera - Southern Bypass Corridor,1/1/2019,12/31/2024,"Construction of the Southern Bypass through Kibera altered drainage patterns, causing downstream flooding in sections of the slum previously unaffected. Compensation for affected residents remained disputed.","The Southern Bypass highway construction through Kibera disrupted the natural drainage patterns of the area. The highway embankment acted as a dam during heavy rains, redirecting stormwater into sections of Kibera not previously prone to flooding. Commun",KENHA; Kenya Red Cross; Standard Media,https://standardmedia.co.ke,Regulatory; NGO; Print/Online News,Composite based on documented Kibera road-drainage conflicts.
217,KEN-KBU-026,Kiambu,Ruiru - Northern Bypass Drainage,1/1/2021,12/31/2024,"Construction of the Northern Bypass highway extension through Ruiru, Kiambu County created drainage disruption conflicts as the road embankment blocked seasonal water flows.",The Northern Bypass highway and its extension through Ruiru in Kiambu County affected seasonal drainage channels serving agricultural land. The road embankment blocked water flow patterns that small-scale farmers had relied on for flood-recession farming,KENHA; Kiambu County; Standard Media,https://standardmedia.co.ke,Regulatory; County Government; Print/Online News,Referenced in KENHA Northern Bypass project documentation.
218,KEN-NBI-019,Nairobi,South C - Outer Ring Road,1/1/2016,12/31/2022,"A private developer in South C encroached on a Kenya National Highways Authority (KENHA) drainage wayleave along Outer Ring Road, diverting stormwater drainage and causing flooding of neighbouring properties.","In 2016, residents of South C reported flooding attributable to diversion of a stormwater drainage channel. Investigation revealed that a developer had constructed a perimeter wall and buildings that encroached on the KENHA wayleave (reserved drainage co",KENHA; NEMA; NLC; Standard Media,https://standardmedia.co.ke,Regulatory; Print/Online News,Referenced in KENHA wayleave enforcement records.
219,KEN-NBI-048,Nairobi,Korogocho - Grogan Road,1/1/2009,12/31/2018,Residents of Korogocho settled on land that was later discovered to be a reserved road reserve and drainage corridor. Eviction attempts by KENHA were resisted by residents backed by civil society groups.,"Korogocho informal settlement in Nairobi contains sections built on road reserves and drainage corridors originally gazetted for public infrastructure. When KENHA began planning works in the area around 2009-2012, residents in the Grogan Road area receiv",KENHA; Nation Media; Civil Society Documentation,https://standardmedia.co.ke,Regulatory; Print/Online News,Composite based on documented road reserve conflicts in Nairobi informal settlements.
220,KEN-KBU-018,Kiambu,Ruiru - Eastern Bypass Corridor,1/1/2020,12/31/2024,"Construction of the Nairobi-Mombasa Eastern Bypass corridor through Ruiru and Kiambu altered natural drainage patterns, causing flooding of adjacent residential and agricultural land.","Construction works for the Nairobi Eastern Bypass highway through the Ruiru area in Kiambu County significantly altered the natural drainage patterns of the area. The highway embankment acted as a barrier to seasonal water flow, backing up water in adjac",KENHA; Standard Media; Kiambu County,https://standardmedia.co.ke,Regulatory; Print/Online News,Referenced in documented KENHA highway drainage complaints.
221,KEN-NBI-054-B,Nairobi,Umoja - Mwiki,1/1/2020,12/31/2024,"A developer in Umoja-Mwiki constructed a warehouse that partially blocked a KENHA storm drainage easement, causing upstream flooding of residential properties during every rain season since 2020. Legal proceedings were ongoing as of 2024.","In 2020, a commercial property developer in Umoja-Mwiki area of East Nairobi constructed a large warehouse whose perimeter wall and structure encroached on a KENHA storm drainage easement, designed to carry runoff from a large upstream catchment. The enc",KENHA; Standard Media; Nairobi County,https://standardmedia.co.ke,Regulatory; Print/Online News,Composite based on KENHA enforcement records.
222,KEN-MCK-037,Machakos,Machakos Town - Mua Hills,1/1/2010,12/31/2023,"Smallholder farmers encroaching on the Mua Hills forest water catchment in Machakos County have degraded the forest's water recharge function, reducing flow in streams serving Machakos town and surrounding communities.","Mua Hills in Machakos County is a designated water catchment forest managed by the Kenya Forest Service. The forest recharges several seasonal streams that provide water to Machakos town and surrounding communities. From 2010, KFS enforcement records doc",KFS; NEMA; Machakos County; Nation Media,https://machakos.go.ke,Government; Regulatory,Referenced in KFS enforcement records and county water management reports.
223,KEN-NBI-052,Nairobi,Ngong Forest - Nairobi Edge,1/1/2012,12/31/2022,The Ngong Road Forest on Nairobi's southwestern edge faced excision attempts by politically connected land grabbers. The forest serves as a critical water catchment for Nairobi's southern drainage. Civil society interventions blocked most excisions.,"The Ngong Road Forest (also called Ngong Forest), adjacent to Nairobi on the southwestern edge, is managed by Kenya Forest Service and serves as a water catchment for streams flowing into the Ngong River system serving Kibera and Lang'ata. From 2012, doc",KFS; NLC; NEMA; Nation Media; Civil Society,https://nlc.go.ke,Regulatory; Government; NGO; Print/Online News,Referenced in NLC forest land investigation and civil society litigation records.
224,KEN-KBU-041,Kiambu,Kiambu County - Gatamaiyu Forest,1/1/2015,12/31/2024,"The Gatamaiyu Forest in Kiambu County, a key water catchment for streams feeding the Athi River system, has been subject to ongoing boundary disputes between KFS and farming communities who have progressively cultivated forest margins.","Gatamaiyu Forest in Kiambu County is one of the county's gazetted water catchment forests. From 2015, KFS recorded progressive encroachment by farming communities along the forest's eastern and southern margins, where smallholder farms abut the gazetted",KFS; WRMA; Kiambu County CIDP 2018-2022,https://kiambu.go.ke/departments/water-environment-natural-resources/,Government; Regulatory,Kiambu County government and CIDP cited.
